ZIPCODE,cases,LAT_repre,LNG_repre
10001,387,40.750633,-73.997177
10002,1096,40.715775,-73.986212
10003,471,40.731829,-73.989181
10004,32,40.68863,-74.018244
10005,65,40.706027,-74.008835
10006,29,40.709614,-74.012954
10007,62,40.713848,-74.007755
10009,724,40.726399,-73.978631
10010,274,40.739065,-73.982255
10011,537,40.742039,-74.00062
10012,171,40.725581,-73.998078
10013,277,40.720103,-74.004903
10014,319,40.734012,-74.006746
10016,733,40.745224,-73.978297
10017,148,40.75236,-73.972493
10018,221,40.755319,-73.993114
10019,626,40.765823,-73.987169
10021,583,40.769258,-73.958751
10022,351,40.758628,-73.967948
10023,582,40.775921,-73.982607
10024,743,40.798452,-73.974428
10025,1415,40.798601,-73.966622
10026,665,40.802381,-73.952681
10027,1079,40.811407,-73.95306
10028,487,40.776441,-73.953509
10029,1858,40.791763,-73.94397
10030,516,40.818267,-73.942856
10031,1375,40.825288,-73.950045
10032,1595,40.838815,-73.942836
10033,1395,40.850545,-73.933983
10034,748,40.867076,-73.924312
10035,1015,40.795455,-73.929655
10036,450,40.75926,-73.98986
10037,545,40.812957,-73.937376
10038,256,40.709278,-74.002562
10039,537,40.830867,-73.936218
10040,1155,40.858305,-73.930549
10044,242,40.761915,-73.949962
10065,339,40.764612,-73.963122
10069,59,40.775906,-73.990358
10075,443,40.773361,-73.956216
10128,657,40.781432,-73.950013
10280,60,40.708538,-74.01665
10282,73,40.716921,-74.015066
10301,1232,40.627456,-74.094407
10302,643,40.630688,-74.137776
10303,903,40.629885,-74.17413
10304,1417,40.609227,-74.092575
10305,1272,40.596691,-74.074866
10306,1481,40.571768,-74.12595
10307,382,40.509183,-74.237785
10308,645,40.551884,-74.147646
10309,848,40.531346,-74.219857
10310,725,40.632648,-74.116148
10312,1514,40.545237,-74.180443
10314,2709,40.599263,-74.165748
10451,1620,40.820479,-73.925084
10452,2495,40.837393,-73.923437
10453,2451,40.852779,-73.912332
10454,1170,40.805489,-73.916585
10455,1313,40.81471,-73.908593
10456,2591,40.829881,-73.90812
10457,2170,40.84715,-73.89868
10458,2120,40.862543,-73.888143
10459,1532,40.825867,-73.892942
10460,1704,40.841758,-73.879571
10461,1902,40.847381,-73.840584
10462,2321,40.84328,-73.860389
10463,2085,40.880678,-73.90654
10464,123,40.867787,-73.79992
10465,1519,40.822615,-73.822239
10466,2457,40.890964,-73.846239
10467,3503,40.869953,-73.865746
10468,2845,40.868093,-73.89973
10469,3087,40.868607,-73.848133
10470,461,40.88953,-73.872662
10471,818,40.898868,-73.903328
10472,2038,40.829556,-73.869336
10473,1988,40.81869,-73.858474
10474,335,40.810549,-73.884367
10475,1743,40.875169,-73.823817
11004,619,40.746204,-73.711478
11101,654,40.747155,-73.93975
11102,643,40.772884,-73.926295
11103,597,40.762574,-73.913447
11104,511,40.744634,-73.920201
11105,505,40.778877,-73.906769
11106,672,40.762211,-73.931528
11109,51,40.745115,-73.956928
11201,742,40.693682,-73.989693
11203,2141,40.649591,-73.934371
11204,2070,40.618779,-73.984826
11205,761,40.694696,-73.966286
11206,1657,40.701954,-73.942358
11207,2184,40.670747,-73.894209
11208,2487,40.669769,-73.871372
11209,1175,40.621982,-74.030324
11210,1751,40.628147,-73.946324
11211,2142,40.712597,-73.953098
11212,1950,40.662936,-73.913029
11213,1450,40.671078,-73.936336
11214,1607,40.599148,-73.99609
11215,641,40.662688,-73.98674
11216,765,40.680768,-73.949316
11217,643,40.682306,-73.978099
11218,1801,40.643468,-73.976046
11219,3128,40.632667,-73.996669
11220,1628,40.641221,-74.016862
11221,1371,40.69134,-73.927879
11222,468,40.72779,-73.947605
11223,1755,40.597139,-73.973428
11224,1284,40.577372,-73.988706
11225,1188,40.663046,-73.954219
11226,2382,40.646448,-73.956649
11228,695,40.616695,-74.013047
