date,park_borough,action_taken,n,prop_brrough.date,prop_date
2020-03-25,Bronx,Approached the crowd; they complied with instructions,0,NA,0
2020-03-25,Bronx,Approached the crowd; they ignored the employee,0,NA,0
2020-03-25,Bronx,Did not approach the crowd; the crowd remains,0,NA,0
2020-03-25,Brooklyn,Approached the crowd; they complied with instructions,0,NA,0
2020-03-25,Brooklyn,Approached the crowd; they ignored the employee,0,NA,0
2020-03-25,Brooklyn,Did not approach the crowd; the crowd remains,0,NA,0
2020-03-25,Manhattan,Approached the crowd; they complied with instructions,3,0.5,0.10344827586206896
2020-03-25,Manhattan,Approached the crowd; they ignored the employee,2,0.3333333333333333,0.06896551724137931
2020-03-25,Manhattan,Did not approach the crowd; the crowd remains,1,0.16666666666666666,0.034482758620689655
2020-03-25,Queens,Approached the crowd; they complied with instructions,0,0,0
2020-03-25,Queens,Approached the crowd; they ignored the employee,4,0.4,0.13793103448275862
2020-03-25,Queens,Did not approach the crowd; the crowd remains,6,0.6,0.20689655172413793
2020-03-25,Staten Island,Approached the crowd; they complied with instructions,2,0.15384615384615385,0.06896551724137931
2020-03-25,Staten Island,Approached the crowd; they ignored the employee,5,0.38461538461538464,0.1724137931034483
2020-03-25,Staten Island,Did not approach the crowd; the crowd remains,6,0.46153846153846156,0.20689655172413793
2020-03-26,Bronx,Approached the crowd; they complied with instructions,0,0,0
2020-03-26,Bronx,Approached the crowd; they ignored the employee,9,1,0.05113636363636364
2020-03-26,Bronx,Did not approach the crowd; the crowd remains,0,0,0
2020-03-26,Brooklyn,Approached the crowd; they complied with instructions,2,0.09090909090909091,0.011363636363636364
2020-03-26,Brooklyn,Approached the crowd; they ignored the employee,12,0.5454545454545454,0.06818181818181818
2020-03-26,Brooklyn,Did not approach the crowd; the crowd remains,8,0.36363636363636365,0.045454545454545456
2020-03-26,Manhattan,Approached the crowd; they complied with instructions,4,0.1111111111111111,0.022727272727272728
2020-03-26,Manhattan,Approached the crowd; they ignored the employee,22,0.6111111111111112,0.125
2020-03-26,Manhattan,Did not approach the crowd; the crowd remains,10,0.2777777777777778,0.056818181818181816
2020-03-26,Queens,Approached the crowd; they complied with instructions,1,0.012195121951219513,0.005681818181818182
2020-03-26,Queens,Approached the crowd; they ignored the employee,26,0.3170731707317073,0.14772727272727273
2020-03-26,Queens,Did not approach the crowd; the crowd remains,55,0.6707317073170732,0.3125
2020-03-26,Staten Island,Approached the crowd; they complied with instructions,2,0.07407407407407407,0.011363636363636364
2020-03-26,Staten Island,Approached the crowd; they ignored the employee,4,0.14814814814814814,0.022727272727272728
2020-03-26,Staten Island,Did not approach the crowd; the crowd remains,21,0.7777777777777778,0.11931818181818182
2020-03-27,Bronx,Approached the crowd; they complied with instructions,6,0.1875,0.045454545454545456
