date,borough,cases
2020-03-25,Kings,1253
2020-03-25,Bronx,1064
2020-03-25,New York,591
2020-03-25,Queens,1572
2020-03-25,Richmond,394
2020-03-26,Kings,1375
2020-03-26,Bronx,998
2020-03-26,New York,628
2020-03-26,Queens,1642
2020-03-26,Richmond,404
2020-03-27,Kings,1425
2020-03-27,Bronx,1090
2020-03-27,New York,656
2020-03-27,Queens,1576
2020-03-27,Richmond,371
2020-03-28,Kings,862
2020-03-28,Bronx,762
2020-03-28,New York,388
2020-03-28,Queens,1201
2020-03-28,Richmond,266
2020-03-29,Kings,1148
2020-03-29,Bronx,700
2020-03-29,New York,408
2020-03-29,Queens,1076
2020-03-29,Richmond,230
2020-03-30,Kings,1755
2020-03-30,Bronx,1313
2020-03-30,New York,806
2020-03-30,Queens,1857
2020-03-30,Richmond,398
2020-03-31,Kings,1517
2020-03-31,Bronx,1283
2020-03-31,New York,617
2020-03-31,Queens,1809
2020-03-31,Richmond,237
2020-04-01,Kings,1594
2020-04-01,Bronx,1238
2020-04-01,New York,573
2020-04-01,Queens,1783
2020-04-01,Richmond,263
2020-04-02,Kings,1619
2020-04-02,Bronx,1290
2020-04-02,New York,652
2020-04-02,Queens,1823
2020-04-02,Richmond,369
2020-04-03,Kings,1441
2020-04-03,Bronx,1450
2020-04-03,New York,672
2020-04-03,Queens,1762
2020-04-03,Richmond,345
2020-04-04,Kings,922
2020-04-04,Bronx,1011
2020-04-04,New York,383
2020-04-04,Queens,1202
2020-04-04,Richmond,345
2020-04-05,Kings,1141
2020-04-05,Bronx,823
2020-04-05,New York,358
2020-04-05,Queens,1137
2020-04-05,Richmond,323
2020-04-06,Kings,1474
2020-04-06,Bronx,1513
2020-04-06,New York,722
2020-04-06,Queens,1925
2020-04-06,Richmond,730
2020-04-07,Kings,1401
2020-04-07,Bronx,1462
2020-04-07,New York,606
2020-04-07,Queens,1948
2020-04-07,Richmond,630
2020-04-08,Kings,1311
2020-04-08,Bronx,1306
2020-04-08,New York,546
2020-04-08,Queens,1855
2020-04-08,Richmond,562
2020-04-09,Kings,1369
2020-04-09,Bronx,1284
2020-04-09,New York,559
2020-04-09,Queens,1560
2020-04-09,Richmond,298
2020-04-10,Kings,1153
2020-04-10,Bronx,1229
2020-04-10,New York,497
2020-04-10,Queens,1333
2020-04-10,Richmond,300
2020-04-11,Kings,1129
2020-04-11,Bronx,998
2020-04-11,New York,303
2020-04-11,Queens,988
2020-04-11,Richmond,312
2020-04-12,Kings,701
2020-04-12,Bronx,763
2020-04-12,New York,253
2020-04-12,Queens,918
2020-04-12,Richmond,253
2020-04-13,Kings,1065
2020-04-13,Bronx,691
2020-04-13,New York,394
2020-04-13,Queens,976
2020-04-13,Richmond,185
2020-04-14,Kings,1036
2020-04-14,Bronx,1076
2020-04-14,New York,441
2020-04-14,Queens,1301
2020-04-14,Richmond,290
2020-04-15,Kings,881
2020-04-15,Bronx,1069
2020-04-15,New York,429
2020-04-15,Queens,1180
2020-04-15,Richmond,317
2020-04-16,Kings,883
2020-04-16,Bronx,939
2020-04-16,New York,356
2020-04-16,Queens,1140
2020-04-16,Richmond,210
2020-04-17,Kings,960
2020-04-17,Bronx,916
2020-04-17,New York,330
2020-04-17,Queens,1098
2020-04-17,Richmond,280
2020-04-18,Kings,575
2020-04-18,Bronx,552
2020-04-18,New York,187
2020-04-18,Queens,705
2020-04-18,Richmond,153
2020-04-19,Kings,635
2020-04-19,Bronx,532
2020-04-19,New York,177
2020-04-19,Queens,868
2020-04-19,Richmond,134
2020-04-20,Kings,983
2020-04-20,Bronx,981
2020-04-20,New York,381
2020-04-20,Queens,1223
