DATE_OF_INTEREST,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT
02/29/2020,0,0,0
03/03/2020,0,0,0
03/04/2020,1,1,0
03/05/2020,3,2,0
03/06/2020,1,1,0
03/07/2020,2,2,0
03/08/2020,5,7,0
03/09/2020,16,11,0
03/10/2020,11,10,0
03/11/2020,31,10,0
03/12/2020,96,28,0
03/13/2020,166,36,0
03/14/2020,163,38,1
03/15/2020,433,46,0
03/16/2020,740,92,1
03/17/2020,783,95,4
03/18/2020,966,120,6
03/19/2020,1204,150,6
03/20/2020,1137,202,11
03/21/2020,554,178,12
03/22/2020,755,192,10
03/23/2020,911,295,27
03/24/2020,1212,341,23
03/25/2020,1253,410,37
03/26/2020,1375,480,50
03/27/2020,1425,452,75
03/28/2020,862,395,78
03/29/2020,1148,446,90
03/30/2020,1755,555,106
03/31/2020,1517,521,126
04/01/2020,1594,505,135
04/02/2020,1619,438,170
04/03/2020,1441,434,142
04/04/2020,922,358,163
04/05/2020,1141,387,167
04/06/2020,1474,500,169
04/07/2020,1401,504,181
04/08/2020,1311,448,173
04/09/2020,1369,431,190
04/10/2020,1153,358,178
04/11/2020,1129,313,159
04/12/2020,701,270,200
04/13/2020,1065,354,158
04/14/2020,1036,291,152
04/15/2020,881,291,132
04/16/2020,883,249,126
04/17/2020,960,258,118
04/18/2020,575,179,116
04/19/2020,635,143,118
04/20/2020,983,202,95
04/21/2020,897,168,92
04/22/2020,854,154,108
04/23/2020,786,150,106
04/24/2020,629,139,93
04/25/2020,405,98,76
04/26/2020,332,81,61
04/27/2020,608,104,88
04/28/2020,712,103,57
04/29/2020,681,96,72
04/30/2020,600,76,66
05/01/2020,498,74,56
05/02/2020,264,53,45
05/03/2020,247,53,45
05/04/2020,462,75,42
05/05/2020,434,62,49
05/06/2020,451,70,38
05/07/2020,402,62,46
05/08/2020,344,62,43
05/09/2020,119,40,28
05/10/2020,188,36,26
05/11/2020,410,57,33
05/12/2020,400,40,33
05/13/2020,362,50,23
