zip,patroncount
10001,297
10002,2773
10003,35
10007,21
10009,152
10010,57
10011,319
10012,42
10013,163
10014,171
10019,75
10021,85
10023,55
10025,67
10026,10
10027,234
10028,17
10031,24
10032,411
10033,137
10035,355
10037,4
10038,20
10039,20
10040,181
10301,860
10302,152
10304,110
10305,264
10306,54
10307,40
10308,50
10309,94
10310,70
10312,18
10314,351
10451,321
10452,37
10453,20
10454,559
10455,93
10456,87
10457,200
10458,592
10459,887
10460,96
10461,481
10463,22
10465,21
10466,3
10467,154
10468,49
10469,82
10473,190
10474,85
11101,315
11102,89
11104,73
11105,514
11201,21
11203,35
11204,135
11205,85
11206,132
11207,651
11208,50
11209,410
11211,232
11212,218
11213,100
11214,402
11215,25
11216,19
11217,20
11218,22
11219,14
11220,36
11222,40
11223,35
11224,264
11228,42
11229,463
11230,15
11232,20
11233,131
11234,62
11235,549
11236,20
11237,165
11238,10
11354,3225
11355,187
11356,110
11357,146
11358,30
11359,130
11360,85
11361,348
11364,367
11365,176
11367,21
11368,109
11369,19
11370,4
11372,30
11373,64
11374,113
11375,604
11377,255
11378,195
11379,370
11385,435
11412,58
11413,368
11417,65
11419,6
11420,108
11421,15
11422,160
11423,45
11426,15
11429,213
11432,285
11433,248
11434,162
11435,47
11436,10
11691,126
11692,115
11694,6
NA,262
