encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
2020-03-25 08:07:40,M108T01,M-15,Manhattan,17,True,Approached the crowd; they complied with instructions,
2020-03-25 10:44:20,R030-099,R-02,Staten Island,18,False,Approached the crowd; they ignored the employee,
2020-03-25 10:49:03,R045-01,R-02,Staten Island,8,True,Approached the crowd; they ignored the employee,
2020-03-25 10:49:53,R005,R-01,Staten Island,6,False,Did not approach the crowd; the crowd remains,
2020-03-25 10:54:28,R005-ZN01,R-01,Staten Island,10,False,Did not approach the crowd; the crowd remains,
2020-03-25 10:58:02,R005-01,R-01,Staten Island,10,True,Did not approach the crowd; the crowd remains,
2020-03-25 11:31:08,R005-ZN01,R-01,Staten Island,7,False,Approached the crowd; they complied with instructions,
2020-03-25 13:41:12,R005-15,R-01,Staten Island,22,True,Approached the crowd; they ignored the employee,
2020-03-25 14:09:55,R064,R-02,Staten Island,4,True,Approached the crowd; they ignored the employee,
2020-03-25 14:12:29,Q015-02,Q-16,Queens,3,True,Did not approach the crowd; the crowd remains,
2020-03-25 14:15:50,R067,R-02,Staten Island,4,True,Approached the crowd; they ignored the employee,
2020-03-25 14:16:04,M029-02,M-12,Manhattan,8,True,Approached the crowd; they ignored the employee,
2020-03-25 14:45:48,M105-02,M-03,Manhattan,15,False,Approached the crowd; they ignored the employee,
2020-03-25 14:53:30,M017,M-03,Manhattan,10,False,Approached the crowd; they complied with instructions,
2020-03-25 14:57:40,M105-08,M-03,Manhattan,7,False,Approached the crowd; they complied with instructions,
2020-03-25 15:35:22,M229,M-07,Manhattan,8,True,Did not approach the crowd; the crowd remains,
2020-03-25 16:11:28,Q001-ZN04,Q-07A,Queens,14,True,Approached the crowd; they ignored the employee,
2020-03-25 16:48:57,Q211,Q-07,Queens,5,False,Did not approach the crowd; the crowd remains,
2020-03-25 16:58:29,Q024,Q-07,Queens,5,False,Did not approach the crowd; the crowd remains,
2020-03-25 17:05:47,Q024,Q-07,Queens,6,False,Did not approach the crowd; the crowd remains,
2020-03-25 17:20:17,Q099-ZN06,Q-15,Queens,6,False,Approached the crowd; they ignored the employee,
2020-03-25 17:44:23,Q015,Q-16,Queens,7,False,Approached the crowd; they ignored the employee,
2020-03-25 17:44:54,Q015-02,Q-16,Queens,4,False,Did not approach the crowd; the crowd remains,
2020-03-25 17:52:08,Q099-20,Q-15,Queens,3,True,Did not approach the crowd; the crowd remains,
2020-03-25 17:53:38,Q099-ZN09,Q-15,Queens,3,False,Approached the crowd; they ignored the employee,
2020-03-26 05:52:07,M037-04,M-12A,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 05:53:01,M037-ZN04,M-12A,Manhattan,5,False,Approached the crowd; they ignored the employee,
2020-03-26 05:54:08,M042-ZN01,M-12,Manhattan,7,False,Approached the crowd; they ignored the employee,
2020-03-26 05:54:43,M037-08,M-12A,Manhattan,5,True,Approached the crowd; they complied with instructions,
2020-03-26 05:55:47,M037-ZN03,M-12A,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 05:56:31,M029-02,M-12,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 05:57:05,M009,M-12,Manhattan,10,True,Approached the crowd; they complied with instructions,
2020-03-26 05:57:53,M029-01,M-12,Manhattan,12,True,Approached the crowd; they ignored the employee,
2020-03-26 07:21:35,Q102-ZN01,Q-05,Queens,20,False,Approached the crowd; they ignored the employee,
2020-03-26 08:04:11,X042,X-06,Bronx,6,False,Approached the crowd; they ignored the employee,
2020-03-26 08:06:42,R030-099,R-02,Staten Island,7,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:12:47,M200,M-07,Manhattan,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:13:23,M229,M-07,Manhattan,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:13:48,M244,M-07,Manhattan,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:37:13,Q300-ZN02,Q-07,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:46:45,R111,R-01,Staten Island,4,True,Did not approach the crowd; the crowd remains,
2020-03-26 08:48:11,RZ125,R-01,Staten Island,4,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:48:50,R024,R-01,Staten Island,9,False,Did not approach the crowd; the crowd remains,
2020-03-26 08:49:51,R170,R-01,Staten Island,11,False,Did not approach the crowd; the crowd remains,
2020-03-26 09:01:39,Q021,Q-08,Queens,4,False,Approached the crowd; they ignored the employee,
2020-03-26 09:04:01,M200A,M-07,Manhattan,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 09:15:22,Q002,Q-05,Queens,25,False,Approached the crowd; they complied with instructions,
2020-03-26 09:17:08,M186,M-10,Manhattan,4,True,Did not approach the crowd; the crowd remains,
2020-03-26 09:17:47,Q004-ZN01,Q-01,Queens,30,False,Did not approach the crowd; the crowd remains,
2020-03-26 09:27:07,Q098,Q-04,Queens,6,True,Approached the crowd; they ignored the employee,
2020-03-26 09:53:48,X255,X-02,Bronx,10,False,Approached the crowd; they ignored the employee,
2020-03-26 10:09:33,R045,R-02,Staten Island,10,False,Did not approach the crowd; the crowd remains,
2020-03-26 10:21:00,Q401,Q-06,Queens,5,True,Approached the crowd; they ignored the employee,
2020-03-26 10:38:26,M105-08,M-03,Manhattan,5,True,Approached the crowd; they complied with instructions,
2020-03-26 10:39:16,M144,M-03,Manhattan,15,False,Approached the crowd; they ignored the employee,
2020-03-26 10:39:37,R028,R-01,Staten Island,16,False,Did not approach the crowd; the crowd remains,
2020-03-26 10:39:40,Q340,Q-02,Queens,15,True,Did not approach the crowd; the crowd remains,
2020-03-26 10:40:12,R035,R-01,Staten Island,4,True,Did not approach the crowd; the crowd remains,
2020-03-26 10:41:25,R042,R-01,Staten Island,4,True,Did not approach the crowd; the crowd remains,
2020-03-26 10:42:31,R117,R-01,Staten Island,4,False,Did not approach the crowd; the crowd remains,
2020-03-26 10:42:32,R045,R-02,Staten Island,23,True,Approached the crowd; they ignored the employee,
2020-03-26 10:58:50,Q126,Q-07,Queens,5,False,Approached the crowd; they ignored the employee,
2020-03-26 10:59:06,R046-ZN01,R-02B,Staten Island,5,False,Approached the crowd; they ignored the employee,
2020-03-26 10:59:30,M144-01,M-03,Manhattan,12,True,Approached the crowd; they ignored the employee,
2020-03-26 11:23:19,B022,B-01,Brooklyn,50,True,Did not approach the crowd; the crowd remains,
2020-03-26 11:25:59,B169A,B-13,Brooklyn,10,False,Approached the crowd; they ignored the employee,
2020-03-26 11:37:23,Q020-ZN04,Q-05A,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 11:37:46,Q015-ZN04,Q-16,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 11:42:36,Q086,Q-07,Queens,8,False,Did not approach the crowd; the crowd remains,
2020-03-26 11:42:44,Q031,Q-02,Queens,15,True,Did not approach the crowd; the crowd remains,
2020-03-26 11:47:15,Q006,Q-07,Queens,30,False,Did not approach the crowd; the crowd remains,
2020-03-26 11:50:46,Q044,Q-02,Queens,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 11:52:42,B130,B-07,Brooklyn,6,True,Approached the crowd; they ignored the employee,
2020-03-26 11:58:58,Q006-01,Q-07,Queens,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:05:41,Q300-03,Q-07,Queens,6,True,Did not approach the crowd; the crowd remains,
2020-03-26 12:08:30,Q385,Q-01,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 12:08:36,Q004-ZN01,Q-01,Queens,50,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:13:29,Q332,Q-01,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 12:13:43,M105,M-03,Manhattan,7,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:14:40,M105,M-03,Manhattan,5,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:16:08,Q024,Q-07,Queens,6,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:17:10,Q395,Q-01,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 12:20:16,M105,M-03,Manhattan,10,False,Approached the crowd; they ignored the employee,
2020-03-26 12:22:12,Q004A,Q-01,Queens,22,True,Approached the crowd; they ignored the employee,
2020-03-26 12:23:49,Q471-01,Q-02,Queens,5,True,Approached the crowd; they ignored the employee,
2020-03-26 12:24:47,Q004-ZN01,Q-01,Queens,30,True,Approached the crowd; they ignored the employee,
2020-03-26 12:25:05,Q471-ZN02,Q-02,Queens,25,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:25:08,Q004-01,Q-01,Queens,6,True,Approached the crowd; they ignored the employee,
2020-03-26 12:25:29,Q004-ZN02,Q-01,Queens,8,True,Approached the crowd; they ignored the employee,
2020-03-26 12:31:13,Q021,Q-08,Queens,8,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:45:49,R065-01,R-02,Staten Island,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 12:46:10,Q141,Q-02,Queens,17,True,Approached the crowd; they ignored the employee,
2020-03-26 12:47:09,R065-ZN08,R-02,Staten Island,30,False,Did not approach the crowd; the crowd remains,
2020-03-26 12:58:13,Q106,Q-12,Queens,8,True,Approached the crowd; they ignored the employee,
2020-03-26 12:58:22,B324,B-18,Brooklyn,5,False,Approached the crowd; they complied with instructions,
2020-03-26 12:59:04,Q067A,Q-02,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 13:09:28,M029,M-12,Manhattan,8,True,Approached the crowd; they ignored the employee,
2020-03-26 13:16:05,M029-01,M-12,Manhattan,10,True,Approached the crowd; they ignored the employee,
2020-03-26 13:22:19,Q436,Q-01,Queens,11,True,Approached the crowd; they ignored the employee,
2020-03-26 13:24:35,Q026,Q-04,Queens,5,True,Did not approach the crowd; the crowd remains,
2020-03-26 13:44:13,R075A,R-02,Staten Island,15,False,Approached the crowd; they ignored the employee,
2020-03-26 13:49:32,Q085,Q-03,Queens,4,True,Approached the crowd; they ignored the employee,
2020-03-26 13:51:19,M105-02,M-03,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 13:52:19,Q207,Q-06,Queens,25,False,Did not approach the crowd; the crowd remains,
2020-03-26 13:55:37,M037-ZN01,M-12A,Manhattan,8,False,Approached the crowd; they complied with instructions,
