ZIPCODE,borough,Neighbourhood,cases,perc_pos,LAT_repre,LNG_repre
10001,Manhattan,Chelsea/NoMad/West Chelsea,387,10.25,40.750633,-73.997177
10002,Manhattan,Chinatown/Lower East Side,1096,14.3,40.715775,-73.986212
10003,Manhattan,East Village/Gramercy/Greenwich Village,471,7.93,40.731829,-73.989181
10004,Manhattan,Financial District,32,8.21,40.68863,-74.018244
10005,Manhattan,Financial District,65,7.39,40.706027,-74.008835
10006,Manhattan,Financial District,29,7.29,40.709614,-74.012954
10007,Manhattan,TriBeCa,62,6.54,40.713848,-74.007755
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,724,10.25,40.726399,-73.978631
10010,Manhattan,Flatiron/Gramercy/Kips Bay,274,6.58,40.739065,-73.982255
10011,Manhattan,Chelsea,537,8.72,40.742039,-74.00062
10012,Manhattan,Greenwich Village/SoHo,171,7.2,40.725581,-73.998078
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,277,7.91,40.720103,-74.004903
10014,Manhattan,Hudson Square/Meatpacking District/West Village,319,7.86,40.734012,-74.006746
10016,Manhattan,Kips Bay/Murray Hill/NoMad,733,9.83,40.745224,-73.978297
10017,Manhattan,East Midtown/Murray Hill,148,7.66,40.75236,-73.972493
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,221,10.54,40.755319,-73.993114
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,626,10.27,40.765823,-73.987169
10021,Manhattan,Lenox Hill/Upper East Side,583,9.5,40.769258,-73.958751
10022,Manhattan,East Midtown,351,8.36,40.758628,-73.967948
10023,Manhattan,Lincoln Square,582,7.93,40.775921,-73.982607
10024,Manhattan,Upper West Side,743,9.52,40.798452,-73.974428
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,1415,10.25,40.798601,-73.966622
10026,Manhattan,Central Harlem (South),665,14.66,40.802381,-73.952681
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,1079,14.62,40.811407,-73.95306
10028,Manhattan,Upper East Side/Yorkville,487,8.63,40.776441,-73.953509
10029,Manhattan,East Harlem,1858,17.84,40.791763,-73.94397
10030,Manhattan,Central Harlem (North),516,16.12,40.818267,-73.942856
10031,Manhattan,Hamilton Heights/West Harlem,1375,16.71,40.825288,-73.950045
10032,Manhattan,Washington Heights (South),1595,18.28,40.838815,-73.942836
10033,Manhattan,Washington Heights (North)/Washington Heights (South),1395,18.21,40.850545,-73.933983
10034,Manhattan,Inwood/Washington Heights (North),748,15.23,40.867076,-73.924312
10035,Manhattan,East Harlem,1015,19.19,40.795455,-73.929655
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,450,11.21,40.75926,-73.98986
10037,Manhattan,Central Harlem (North)/East Harlem,545,16.2,40.812957,-73.937376
10038,Manhattan,Chinatown/Financial District,256,11.22,40.709278,-74.002562
10039,Manhattan,Central Harlem (North)/Washington Heights (South),537,17.88,40.830867,-73.936218
10040,Manhattan,Washington Heights (North),1155,19.21,40.858305,-73.930549
10044,Manhattan,Roosevelt Island,242,16.45,40.761915,-73.949962
10065,Manhattan,Lenox Hill/Upper East Side,339,8.02,40.764612,-73.963122
10069,Manhattan,Lincoln Square,59,8.3,40.775906,-73.990358
10075,Manhattan,Lenox Hill/Upper East Side,443,12.29,40.773361,-73.956216
10128,Manhattan,Upper East Side/Yorkville,657,8.7,40.781432,-73.950013
10280,Manhattan,Battery Park City,60,7.8,40.708538,-74.01665
10282,Manhattan,Battery Park City,73,13.57,40.716921,-74.015066
10301,Staten Island,Silver Lake/St. George,1232,21.05,40.627456,-74.094407
10302,Staten Island,Elm Park,643,25.71,40.630688,-74.137776
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,903,23.08,40.629885,-74.17413
10304,Staten Island,New Dorp/Todt Hill,1417,22.22,40.609227,-74.092575
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,1272,21.7,40.596691,-74.074866
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,1481,19.55,40.571768,-74.12595
10307,Staten Island,Tottenville,382,21.67,40.509183,-74.237785
10308,Staten Island,Great Kills,645,19.52,40.551884,-74.147646
10309,Staten Island,Charleston/Prince's Bay/Woodrow,848,20.44,40.531346,-74.219857
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,725,20.18,40.632648,-74.116148
10312,Staten Island,Annadale/Rossville,1514,20.33,40.545237,-74.180443
10314,Staten Island,Bloomfield/Freshkills Park,2709,21.37,40.599263,-74.165748
10451,Bronx,Concourse/Melrose,1620,22.35,40.820479,-73.925084
10452,Bronx,Concourse/Highbridge,2495,22.87,40.837393,-73.923437
10453,Bronx,Morris Heights/Mount Hope/University Heights,2451,23.95,40.852779,-73.912332
10454,Bronx,Mott Haven/Port Morris,1170,21.04,40.805489,-73.916585
10455,Bronx,Mott Haven,1313,23.1,40.81471,-73.908593
10456,Bronx,Claremont/Morrisania,2591,21.28,40.829881,-73.90812
10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,2170,21.84,40.84715,-73.89868
