"","park_area_id","facility__Name","facility__Location","facility__Zip","ADDRESS_Ext","lon","lat","district"
"1","X179","Playground 52 LII","Kelly St bet. Av St John and Leggett Av","10455","Playground 52 LII,New York, NY,10455",-73.9017293,40.8149202,"Bronx"
"2","B247","Breukelen Ballfields","Louisiana Ave., Stanley Ave., Flatlands Ave., Williams Ave.","11207","Breukelen Ballfields,New York, NY,11207",-73.8914313,40.6509784,"Brooklyn"
"3","Q377","Playground Sixty Two LXII","Yellowstone Bl bet. 62 Av and 62 Rd","11375","Playground Sixty Two LXII,New York, NY,11375",-73.8524117,40.7361665,"Queens"
"4","B018","Canarsie Park","Belt Pkwy, Seaview Ave Btw: Paerdegat Basin, E 93 S, E 102 St, Fresh Creek Basin","11236, 11239","Canarsie Park,New York, NY,11236, 11239",-73.8953492,40.6276987,"Brooklyn"
"5","X039","Pelham Bay Park","Bruckner Blvd, Eastchester, Hutchinson","10461, 10464, 10464, 10465, 10469, 10475, 10803","Pelham Bay Park,New York, NY,10461, 10464, 10464, 10465, 10469, 10475, 10803",-73.8207104,40.8493296,"Bronx"
"6","M029","Fort Tryon Park","Riverside Dr To Broadway, W 192 St To Dyckman St","10040","Fort Tryon Park,New York, NY,10040",-73.9312995,40.8625608,"Manhattan"
"7","Q357B01","Barrier Playground","Horace Harding Exwy. Sr. Rd. S., 62 Ave. bet. 102 St. and Yellowstone Blvd.","11375","Barrier Playground,New York, NY,11375",-73.8548628,40.7362906,"Queens"
"8","M144","John V. Lindsay East River Park","Montgomery St. To E. 12 St., FDR Drive","10002","John V. Lindsay East River Park,New York, NY,10002",-73.974383,40.7189217,"Manhattan"
"9","X092","Van Cortlandt Park","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","10467, 10470, 10471, 10705, 10705","Van Cortlandt Park,New York, NY,10467, 10470, 10471, 10705, 10705",-73.8852842,40.8964243,"Bronx"
"10","X255","Bill Rainey Park","Beck St bet. Interval Av and Longwood Av","10459","Bill Rainey Park,New York, NY,10459",-73.8974393,40.8188659,"Bronx"
"11","Q162J","Beach 17 Playground","Seagirt Blvd bet. B. 17 St. and B. 12 St.","11691","Beach 17 Playground,New York, NY,11691",-73.7503498,40.5943811,"Queens"
"12","Q126","Francis Lewis Park","3 Ave. bet. Parsons Blvd and 147 St.","11357","Francis Lewis Park,New York, NY,11357",-73.824516,40.7965619,"Queens"
"13","M017","Corlears Hook Park","Jackson St, Cherry St, FDR Drive","10002","Corlears Hook Park,New York, NY,10002",-73.9797222,40.7116667,"Manhattan"
"14","M037","Highbridge Park","W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av","10032, 10033, 10039, 10040, 10452","Highbridge Park,New York, NY,10032, 10033, 10039, 10040, 10452",-73.9257492,40.8537599,"Manhattan"
"15","Q021","Cunningham Park","Horace Harding Expwy, Grand Central Pkwy","11364, 11423, 11427","Cunningham Park,New York, NY,11364, 11423, 11427",-73.7742339,40.7291208,"Queens"
