zip,patroncount,n,LAT_repre,LNG_repre
10001,297,33,40.750633,-73.997177
10002,2773,159,40.715775,-73.986212
10003,35,5,40.731829,-73.989181
10007,21,1,40.713848,-74.007755
10009,152,7,40.726399,-73.978631
10010,57,4,40.739065,-73.982255
10011,319,11,40.742039,-74.00062
10012,42,3,40.725581,-73.998078
10013,163,6,40.720103,-74.004903
10014,171,6,40.734012,-74.006746
10019,75,5,40.765823,-73.987169
10021,85,5,40.769258,-73.958751
10023,55,8,40.775921,-73.982607
10025,67,9,40.798601,-73.966622
10026,10,1,40.802381,-73.952681
10027,234,17,40.811407,-73.95306
10028,17,1,40.776441,-73.953509
10031,24,2,40.825288,-73.950045
10032,411,26,40.838815,-73.942836
10033,137,11,40.850545,-73.933983
10035,355,18,40.795455,-73.929655
10037,4,1,40.812957,-73.937376
10038,20,3,40.709278,-74.002562
10039,20,1,40.830867,-73.936218
10040,181,16,40.858305,-73.930549
10301,860,61,40.627456,-74.094407
10302,152,12,40.630688,-74.137776
10304,110,9,40.609227,-74.092575
10305,264,26,40.596691,-74.074866
10306,54,6,40.571768,-74.12595
10307,40,1,40.509183,-74.237785
10308,50,2,40.551884,-74.147646
10309,94,5,40.531346,-74.219857
10310,70,9,40.632648,-74.116148
10312,18,2,40.545237,-74.180443
10314,351,25,40.599263,-74.165748
10451,321,16,40.820479,-73.925084
10452,37,2,40.837393,-73.923437
10453,20,1,40.852779,-73.912332
10454,559,23,40.805489,-73.916585
10455,93,5,40.81471,-73.908593
10456,87,10,40.829881,-73.90812
10457,200,11,40.84715,-73.89868
10458,592,34,40.862543,-73.888143
10459,887,39,40.825867,-73.892942
10460,96,10,40.841758,-73.879571
10461,481,18,40.847381,-73.840584
10463,22,2,40.880678,-73.90654
10465,21,2,40.822615,-73.822239
10466,3,1,40.890964,-73.846239
10467,154,8,40.869953,-73.865746
10468,49,6,40.868093,-73.89973
10469,82,10,40.868607,-73.848133
10473,190,4,40.81869,-73.858474
10474,85,5,40.810549,-73.884367
11101,315,14,40.747155,-73.93975
11102,89,6,40.772884,-73.926295
11104,73,6,40.744634,-73.920201
11105,514,20,40.778877,-73.906769
11201,21,2,40.693682,-73.989693
11203,35,3,40.649591,-73.934371
11204,135,4,40.618779,-73.984826
11205,85,4,40.694696,-73.966286
11206,132,5,40.701954,-73.942358
11207,651,27,40.670747,-73.894209
11208,50,1,40.669769,-73.871372
11209,410,27,40.621982,-74.030324
11211,232,11,40.712597,-73.953098
11212,218,12,40.662936,-73.913029
11213,100,2,40.671078,-73.936336
11214,402,15,40.599148,-73.99609
11215,25,2,40.662688,-73.98674
11216,19,2,40.680768,-73.949316
11217,20,2,40.682306,-73.978099
11218,22,3,40.643468,-73.976046
11219,14,3,40.632667,-73.996669
11220,36,6,40.641221,-74.016862
11222,40,2,40.72779,-73.947605
11223,35,3,40.597139,-73.973428
11224,264,17,40.577372,-73.988706
11228,42,2,40.616695,-74.013047
11229,463,26,40.601293,-73.944493
11230,15,2,40.622164,-73.965105
11232,20,3,40.656546,-74.007355
11233,131,9,40.678308,-73.919936
11234,62,4,40.60508,-73.911721
11235,549,21,40.583949,-73.949096
11236,20,1,40.639413,-73.900664
11237,165,4,40.70416,-73.921139
11238,10,1,40.679171,-73.963804
11354,3225,154,40.768208,-73.827403
11355,187,12,40.751452,-73.821031
11356,110,3,40.78485,-73.841279
11357,146,9,40.786393,-73.810864
11358,30,1,40.760471,-73.796371
11359,130,5,40.791781,-73.776875
11360,85,4,40.780379,-73.78123
11361,348,17,40.764191,-73.772775
11364,367,17,40.745289,-73.760586
11365,176,13,40.739634,-73.79449
11367,21,3,40.730145,-73.82703
11368,109,7,40.751718,-73.851822
11369,19,2,40.763365,-73.872374
11370,4,1,40.765393,-73.893243
11372,30,1,40.75169,-73.883638
11373,64,4,40.738837,-73.878535
11374,113,7,40.726418,-73.861526
11375,604,30,40.720934,-73.846151
11377,255,16,40.744819,-73.905156
11378,195,7,40.724744,-73.909639
11379,370,15,40.716748,-73.879601
11385,435,15,40.700671,-73.889433
11412,58,7,40.698095,-73.758986
11413,368,20,40.671659,-73.752568
11417,65,2,40.676446,-73.844443
11419,6,1,40.688673,-73.822918
11420,108,6,40.673583,-73.81773
11421,15,1,40.694062,-73.858626
11422,160,11,40.66006,-73.736012
11423,45,3,40.715606,-73.768471
11426,15,2,40.736425,-73.722376
11429,213,8,40.709766,-73.738653
11432,285,11,40.715359,-73.793071
11433,248,15,40.698162,-73.786893
11434,162,8,40.676808,-73.776425
11435,47,6,40.701265,-73.809605
11436,10,1,40.675807,-73.796622
11691,126,11,40.601278,-73.761651
11692,115,14,40.594095,-73.792896
11694,6,1,40.57827,-73.844762
NA,262,19,NA,NA
